family_group,family,task_id,m,n,config_id,block_size,num_warps,num_stages,shape_json,config_json,median_ms,effective_gbps,score,validation_error
A,softmax,softmax_m4096_n256,4096,256,40,1024,4,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 1, ""num_warps"": 4}",0.007807999849319458,537.1803382354797,4.852606449169571,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,41,1024,4,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 2, ""num_warps"": 4}",0.007807999849319458,537.1803382354797,4.852606449169571,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,42,1024,4,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 3, ""num_warps"": 4}",0.007807999849319458,537.1803382354797,4.852606449169571,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,43,1024,4,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 4, ""num_warps"": 4}",0.007807999849319458,537.1803382354797,4.852606449169571,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,44,1024,8,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 1, ""num_warps"": 8}",0.010015999898314476,418.7603876379662,4.603571474776703,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,45,1024,8,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 2, ""num_warps"": 8}",0.010015999898314476,418.7603876379662,4.603571474776703,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,46,1024,8,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 3, ""num_warps"": 8}",0.009983999654650688,420.10257863402813,4.6067715019453415,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,47,1024,8,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 4, ""num_warps"": 8}",0.010015999898314476,418.7603876379662,4.603571474776703,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,48,2048,1,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 1, ""num_warps"": 1}",0.010463999584317207,400.83182020440466,4.5598145239923324,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,49,2048,1,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 2048, ""num_stages"": 2, ""num_warps"": 1}",0.010432000271975994,402.06133921098234,4.562877247726521,3.0517578125e-05
